CÓDIGO,RODOVIA,SENTIDO,VELOCIDADE
DER854,BR-020,BR-020 SENTIDO PLANALTINA/FORMOSA,40 Km/h
DER773,BR-020,COLORADO,60 Km/h
DER815,BR-020,BALÃO DO COLORADO,60 Km/h
DER826,BR-020,SENTIDO PLANALTINA,60 Km/h
DER827,BR-020,SENTIDO SOBRADINHO,60 Km/h
DER828,BR-020,COLORADO FRENTE AO CONDOMÍNIO MORADA DOS NOBRES,60 Km/h
DER841,BR-020,BR-020 KM 13 SENTIDO PLANALTINA,60 Km/h
DER842,BR-020,BR-020 KM 13 SENTIDO SOBRADINHO,60 Km/h
DER859,BR-020,PLANALTINA-VIA MARGINAL PROX. VIADUTO PADRE JONAS VETTORACI,60 Km/h
DER860,BR-020,COLORADO-VIA MARGINAL PROX. DO VIADUTO PADRE JONAS VETTORACI,60 Km/h
DER724,BR-020,PLANALTINA,70 Km/h
DER725,BR-020,SOBRADINHO,70 Km/h
DER799,BR-020,DECRESCENTE,70 Km/h
DER830,BR-020,SENTIDO FORMOSA,70 Km/h
DER831,BR-020,SENTIDO SOBRADINHO,70 Km/h
DER757,BR-020,PLANALTINA/SOBRADINHO,80 Km/h
DER829,BR-020,SENTIDO COLORADO FRENTE AO CONDOMÍNIO MORADA DOS NOBRES,80 Km/h
DER856,BR-040,BR-040 VIA MARGINAL SENTIDO BR-251,40 Km/h
DER728,BR-040,VALPARAIZO,60 Km/h
DER729,BR-040,DF-003 (EPIA),60 Km/h
DER732,BR-040,VALPARAIZO,60 Km/h
DER733,BR-040,DF-003 (EPIA),60 Km/h
DER857,BR-040,BR-040 VIA MARGINAL SENTIDO BR-251,60 Km/h
DER850,BR-251,BR-251 SENTIDO UNAI,80 Km/h
DER851,BR-251,BR-251 SENTIDO DF-140,80 Km/h
DER137,DF-005,DF-005 (BARRAGEM DO PARANOÁ),50 Km/h
DER146,DF-463,DF-463 (ACESSO SÃO SEBASTIÃO),60 Km/h
DER192,DF-001,DF-085 (EPTG),60 Km/h
DER193,DF-001,DF-075 (EPNB),60 Km/h
DER197,DF-001,DF-095 (ESTRUTURAL),60 Km/h
DER206,DF-001,PROX. VIAD. EPTG,60 Km/h
DER210,DF-001,DF-095 ESTRUTURAL,60 Km/h
DER553,DF-001,DF-025,60 Km/h
DER635,DF-001,BALÃO DO COLORADO,60 Km/h
DER636,DF-001,ENTRADA DA VILA BASEVI,60 Km/h
DER651,DF-001,COLORADO,60 Km/h
DER652,DF-001,BASE VI,60 Km/h
DER654,DF-001,RUA 02,60 Km/h
DER816,DF-001,DF-465,60 Km/h
DER817,DF-001,DF-140,60 Km/h
DER145,DF-001,DF-035 (BALÃO DA ESAF),70 Km/h
DER153,DF-001,DF-480 (BALÃO DO GAMA),80 Km/h
DER154,DF-001,BR-060 (SAMAMBAIA),80 Km/h
DER157,DF-001,SAMAMBAIA,80 Km/h
DER167,DF-001,NÚCLEO BANDEIRANTE,80 Km/h
DER395,DF-001,BR-040,80 Km/h
DER548,DF-001,DF-430,80 Km/h
DER555,DF-001,DF-463,80 Km/h
DER015,DF-002,RODOVIÁRIA,60 Km/h
DER632,DF-002,SUL,60 Km/h
DER633,DF-002,NORTE,60 Km/h
DER804,DF-002,SENTIDO LAGO NORTE,60 Km/h
DER858,DF-002,VIA DE LIGAÇÃO PONTO DO BRAGUETO PARA DF-002 EIXÃO NORTE,60 Km/h
DER005,DF-002,PONTE DO BRAGUETO,80 Km/h
DER019,DF-002,AEROPORTO,80 Km/h
DER833,DF-003,PARK WAY QUADRA 08 CONJUNTO 04 SENTIDO SUL,40 Km/h
DER302,DF-003,SUL (B. TORTO),60 Km/h
DER403,DF-003,NORTE (BR-020),60 Km/h
DER638,DF-003,NORTE – (ALT. CANDANGOLÂNDIA)(VIA MARGINAL),60 Km/h
DER745,DF-003,DF095,60 Km/h
DER825,DF-003,AO VIADUTO AYRTON SENNA KM 14,60 Km/h
DER300,DF-003,SUL (DF-095),70 Km/h
DER661,DF-003,BALÃO DO TORTO,70 Km/h
DER303,DF-003,NORTE (BALAO COLORADO),80 Km/h
DER329,DF-025,NORTE (DF-025),80 Km/h
DER330,DF-003,SUL,80 Km/h
DER332,DF-003,NORTE,80 Km/h
DER399,DF-003,NORTE (BR-020),80 Km/h
DER400,DF-003,SUL (ENTRE B. TORTO E PQ. AGUA MINERAL),80 Km/h
DER401,DF-003,NORTE (ENTRE PQ. AGUA MINERAL E BALÃO DO TORTO),80 Km/h
DER402,DF-095,SUL (DF-095),80 Km/h
DER405,DF-003,NORTE (B. TORTO),80 Km/h
DER406,DF-003,SUL (DF-095),80 Km/h
DER407,DF-003,NORTE (BR-020),80 Km/h
DER420,DF-051,SUL (DF-051),80 Km/h
DER423,DF-003,SUL (DF-001),80 Km/h
DER430,DF-003,SUL (DF-051),80 Km/h
DER637,DF-003,NORTE – (ALT. CANDANGOLÂNDIA)(VIA PRINCIPAL),80 Km/h
DER639,DF-003,NORTE (ENTRE EPDB E EPNB),80 Km/h
DER640,DF-003,SUL (ENTRE EPNB E EPDB),80 Km/h
DER666,DF-003,COLORADO,80 Km/h
DER722,DF-003,BR020,80 Km/h
DER751,DF-003,SUL,80 Km/h
DER867,DF-003,DF-003 (EPIA) SENTIDO NORTE/SUL,80 Km/h
DER271,DF-004,NORTE/SUL (ENTROCAMENTO COM A L2 NORTE),60 Km/h
DER765,DF-004,SUL/NORTE(ENTRONCAMENTO COM A L2 NORTE),60 Km/h
DER770,DF-004,SUL/NORTE,60 Km/h
DER269,DF-004,SUL-NORTE,80 Km/h
DER272,DF-004,NORTE-SUL,80 Km/h
DER283,DF-004,SUL/NORTE PROX. PRIM. ACESSO VILA PLANALTO,80 Km/h
DER289,DF-004,NORTE/SUL (PROX. CLUBE ASSTJ),80 Km/h
DER292,DF-004,SUL/NORTE (PROX. CLUBE ASSTJ),80 Km/h
DER294,DF-004,SUL/NORTE(PROX.SLU),80 Km/h
DER295,DF-004,NORTE/SUL (SEMÁFORO PROXIMO EMBAIXADA IRAQUE),80 Km/h
DER670,DF-004,PONTE DO BRAGUETO,80 Km/h
DER864,DF-004,DF-004 (EPNA) SENTIDO NORTE/SUL - BRASILIA,80 Km/h
DER055,DF-005,DF-001 (BARRAGEM),60 Km/h
DER792,DF-005,BARRAGEM DO PARANOÁ,60 Km/h
DER861,DF-005,DF-005 (EPPR) SENTIDO VARJÃO,60 Km/h
DER862,DF-005,DF-005 (EPPR) SENTIDO DF-009,60 Km/h
DER060,DF-005,DF-009 (LAGO NORTE),80 Km/h
DER067,DF-005,DF-001 (BARRAGEM),80 Km/h
DER069,DF-005,LAGO NORTE,80 Km/h
DER557,DF-005,BARRAGEM DO PARANOÁ,80 Km/h
DER070,DF-006,DF-005,60 Km/h
DER764,DF-007,COLORADO,50 Km/h
DER789,DF-007,DF-003 (EPIA),60 Km/h
DER002,DF-007,PONTE DO BRAGUETO,80 Km/h
DER038,DF-009,PONTE DO BRAGUETO,60 Km/h
DER720,DF-009,DF-007 (PONTE DO BRAQUETO),60 Km/h
DER037,DF-009,DF-007 (PONTE DO BRAGUETO),70 Km/h
DER041,DF-009,CLUBE DO CONGRESSO,70 Km/h
DER437,DF-010,EIXO MONUMENTAL,60 Km/h
DER439,DF-010,EIXO MON./EPIA (PROX. CAMPING BSB),70 Km/h
DER440,DF-010,EIXO MONUMENTAL,70 Km/h
DER441,DF-010,EPIA/EIXO MONU (PEOX. CAMPING BSB),70 Km/h
DER444,DF-010,DF-003 (EPIA),70 Km/h
DER087,DF-015,DF005 (EPPR),60 Km/h
DER564,DF-015,DF-001 (PARANOÁ),60 Km/h
DER392,DF-025,-,60 Km/h
DER224,DF-025,BARRAGEM DO PARANOÁ,70 Km/h
DER228,DF-025,DF-003 (BALÃO DO AEROPORTO),70 Km/h
DER231,DF-025,C. COM. G. SALOMÃO A PTE C. SILVA,70 Km/h
DER232,DF-025,PTE. C. SILVA AO B. DO AEROPORTO,70 Km/h
DER247,DF-025,DF-003(EPIA),70 Km/h
DER251,DF-025,PARANOÁ A PONTE JK,70 Km/h
DER625,DF-025,DF-003 (EPIA) ALT. QL 12 ACESSO PONTE COSTA E SILVA,70 Km/h
DER672,DF-025,DF003 (ESCOLA CANTINHO FELIZ),70 Km/h
DER675,DF-025,AEROPORTO,70 Km/h
DER678,DF-025,DF-003 (IGREJA),70 Km/h
DER756,DF-025,PLANO PILOTO,70 Km/h
DER818,DF-025,SENTIDO BARRAGEM DO PARANOÁ,70 Km/h
DER221,DF-025,DF-047 (BALAO DO AEROPORTO),80 Km/h
DER116,DF-027,PONTE JK,80 Km/h
DER117,DF-027,DF-025 (PONTE JK),80 Km/h
DER750,DF-035,DF-025 (EPDB),60 Km/h
DER118,DF-035,DF-025 (EPDB) LAGO SUL,70 Km/h
DER119,DF-035,DF-001 (BALÃO DA ESAF),70 Km/h
DER863,DF-035,DF-025(EPDB),70 Km/h
DER032,DF-047,DF-002 (EIXÃO),80 Km/h
DER033,DF-047,AEROPORTO,80 Km/h
DER460,DF-051,EPIA/ASA SUL,60 Km/h
DER078,DF-051,DF-047 (ASA SUL),70 Km/h
DER079,DF-051,GUARÁ II AO ZOOLÓGICO,70 Km/h
DER080,DF-051,GUARÁ,70 Km/h
DER461,DF-051,DF-047 (ASA SUL),70 Km/h
DER462,DF-051,DF-003 (EPIA),70 Km/h
DER081,DF-055,DF-003 (EPIA),60 Km/h
DER558,DF-055,VARGEM BONITA,60 Km/h
DER641,DF-065,DF-003 (EPIA),80 Km/h
DER642,DF-065,DF-001 (EPCT),80 Km/h
DER683,DF-065,DF-001(EPCT/BALAO DO GAMA),80 Km/h
DER090,DF-075,SAMAMBAIA/BANDEIRANTE/RIACHO FUNDO,60 Km/h
DER100,DF-075,DF-003 (EPIA),80 Km/h
DER102,DF-075,N BAND./RIACHO FUNDO,80 Km/h
DER105,DF-075,DF-001 (SAMAMBAIA),80 Km/h
DER106,DF-075,DF-003 (NÚCLEO BANDEIRANTE),80 Km/h
DER107,DF-075,R. FUNDO / SAMAMBAIA,80 Km/h
DER469,DF-079,DF-075 (EPNB/EPTG),60 Km/h
DER643,DF-079,DF-085 (EPTG),60 Km/h
DER644,DF-079,DF-075 (EPNB),60 Km/h
DER509,DF-085,DF-003 (PLANO PILOTO),60 Km/h
DER647,DF-085,TAGUATINGA,60 Km/h
DER650,DF-085,DF-003 (EPIA),60 Km/h
DER806,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO SUL - EMBOQUE - SENTIDO PLANO PILOTO,60 Km/h
DER807,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO NORTE - EMBOQUE – SENTIDO CEILÂNDIA,60 Km/h
DER808,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO SUL - 17M ANTES DA SAÍDA DE EMERGÊNCIA 7 - SENTIDO PLANO PILOTO,60 Km/h
DER809,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO SUL - 30M DEPOIS DA SAÍDA DE EMERGÊNCIA 4 - SENTIDO PLANO PILOTO,60 Km/h
DER810,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO SUL - 90M DEPOIS DA SAÍDA DE EMERGÊNCIA 1 - SENTIDO PLANO PILOTO,60 Km/h
DER811,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO NORTE - 95M ANTES DA SAÍDA DE EMERGÊNCIA 1 - SENTIDO CEILÂNDIA,60 Km/h
DER812,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO NORTE - 50M DEPOIS DA SAÍDA DE EMERÊNCIA 3 - SENTIDO CEILÂNDIA,60 Km/h
DER813,DF-085,TÚNEL REI PELÉ(TAGUATINGA) - LADO NORTE - 90M DEPOIS DA SAÍDA DE EMERGÊNCIA 6 - SENTIDO CEILÂNDIA,60 Km/h
DER477,DF-085,DF-001 (TAGUATINGA),80 Km/h
DER479,DF-085,DF-003 (PLANO PILOTO),80 Km/h
DER480,DF-085,TAGUATINGA VIA PRINCIPAL,80 Km/h
DER649,DF-085,DF-003 (EPIA),80 Km/h
DER268,DF-087,DF-085 (EPTG),60 Km/h
DER583,DF-087,DF095 (ESTRUTURAL),60 Km/h
DER263,DF-087,DF-085 (EPTG),70 Km/h
DER264,DF-087,DF-095 (ESTRUTURAL),70 Km/h
DER372,DF-095,BIDIRECIONAL (PISTA SUL),80 Km/h
DER373,DF-095,BIDIRECIONAL (PISTA NORTE),80 Km/h
DER374,DF-095,DF-003 (EPIA),80 Km/h
DER375,DF-095,DF-001 (TAGUATINGA),80 Km/h
DER379,DF-095,DF-001 (TAGUATINGA),80 Km/h
DER384,DF-095,DF-001(EPCT/TAGUATINGA),80 Km/h
DER124,DF-128,COLÉGIO AGRÍCOLA,50 Km/h
DER551,DF-128,BR-020,50 Km/h
DER566,DF-128,COLÉGIO AGRÍCOLA,60 Km/h
DER772,DF-128,PLANALTINA DE GOIÁS,60 Km/h
DER626,DF-128,PLANALTINA-GO/BR-020,80 Km/h
DER627,DF-128,BR-020/PLANALTINA-GO,80 Km/h
DER821,DF-128,PLANALTINA DE GOIAS,80 Km/h
DER824,DF-128,BR-020,80 Km/h
DER628,DF-140,JARDIM ABC,60 Km/h
DER629,DF-140,BRASÍLIA,60 Km/h
DER787,DF-150,SOBRADINHO 2,50 Km/h
DER529,DF-150,9,60 Km/h
DER785,DF-150,SOBRADINHO 2,60 Km/h
DER786,DF-150,DF-205,60 Km/h
DER101,DF-205,DF-150,80 Km/h
DER528,DF-150,KM 6,80 Km/h
DER530,DF-150,SOBRADINHO II,80 Km/h
DER532,DF-150,BR-020/DF-003,80 Km/h
DER537,DF-150,BR-020,80 Km/h
DER775,BR-070,DF-180,80 Km/h
DER776,DF-190,DF-180,80 Km/h
DER777,DF-180,BR-070,80 Km/h
DER781,BR-060,DF-180,80 Km/h
DER783,DF-180,BR-060,80 Km/h
DER784,DF-180,DF-190,80 Km/h
DER170,DF-230,BR-020,60 Km/h
DER571,DF-230,DF-345,60 Km/h
DER572,DF-345,DF-230,60 Km/h
DER761,DF-250,DF-001,60 Km/h
DER762,DF-250,PLANALTINA,60 Km/h
DER758,DF-280,BALÃO DA DF-190,50 Km/h
DER350,DF-280,BR-060,80 Km/h
DER763,DF-280,BR-060,80 Km/h
DER174,DF-290,GAMA,60 Km/h
DER832,DF-290,SENTIDO ENGENHO DAS LAJES,80 Km/h
DER835,DF-290,SENTIDO GAMA,80 Km/h
DER836,DF-290,SENTIDO ENGENHO DAS LAJES,80 Km/h
DER794,DF-430,DF-001,60 Km/h
DER795,DF-430,BRAZLÂNDIA,60 Km/h
DER711,DF-451,BR-080,40 Km/h
DER591,DF-459,CEILANDIA/SAMAMBAIA,70 Km/h
DER593,DF-459,SAMAMBAIA/CEILÂNDIA,70 Km/h
DER718,DF-459,SAMAMBAIA,70 Km/h
DER719,DF-459,CEILÂNDIA,70 Km/h
DER721,DF-463,SÃO SEBASTIÃO,60 Km/h
DER723,DF-463,DF-001,60 Km/h
DER747,DF-463,SÃO SEBASTIAO,70 Km/h
DER127,DF-463,DF-001,80 Km/h
DER128,DF-463,SÃO SEBASTIÃO,80 Km/h
DER746,DF-463,DF-001(EPCT),80 Km/h
DER796,DF-475,-,60 Km/h
DER797,DF-475,-,60 Km/h
DER109,DF-480,DF-001 (BALÃO DO GAMA),80 Km/h
DER110,DF-480,GAMA,80 Km/h
DER111,DF-480,GAMA,80 Km/h
DER112,DF-480,DF-001 (BALÃO DO GAMA),80 Km/h
DER113,DF-480,GAMA,80 Km/h
DER123,DF-483,GAMA,70 Km/h
DER630,DF-483,SANTA MARIA/GAMA,70 Km/h
DER631,DF-483,GAMA/SANTA MARIA,70 Km/h
DER122,DF-483,GAMA,80 Km/h
DER802,DF-495,SENTIDO BR-040,60 Km/h
DER803,DF-495,SENTIDO CIDADE OCIDENTAL,60 Km/h
DER389,DF-009,0	DF-007 ( PONTE DO BRAGUETO),60 Km/h
DER391,VIA DE Km 0,1	BALÃO DO AEROPORTO,60 Km/h
DER744,VIA DE LIGAÇÃO,DF-025,70 Km/h
DER748,VIA DE LIGAÇÃO,BALAO DO TORTO,70 Km/h
DER749,VIA DE LIGAÇÃO,BALÃO DO TORTO,70 Km/h
DER752,VIA DE LIGAÇÃO,BALAO DO TORTO,70 Km/h
DER754,VIA DE LIGAÇÃO,BALÃO DO TORTO,70 Km/h
DER390,VIA DEDF-003,-,60 Km/h
DER388,VIA DEDF-009 (LAGO NORTE),-,60 Km/h
DER774,VIA DESUL,-,50 Km/h
