RODOVIA,SENTIDO,VALOR DO K
190EDF0070,ENTR. DF-280(B) até ENTR. BR-060,1.6
100EDF0090,ENTR. VC-143 até ENTR. BR-479/DF-250,1.4833333333333334
001EDF0170,ENTR. DF-465 até ENTR. DF-140,1.45
001EDF0190,ENTR. DF-140 até ENTR. BR-251(A),1.45
100EDF0010,ENTR. BR-020/BR-030 até ENTR. DF-230,1.45
100EDF0030,ENTR. DF-230 até ENTR. VC-141,1.45
320EDF0010,ENTR. BR-479/DF-250 até ENTR. VC-403,1.4333333333333333
345EDF0050,ENTR. VC-111 até ENTR. BR- 010(B)/ BR-020/BR-030,1.4192660550458713
105EDF0010,ENTR. BR-020/030 até FIM DO TRECHO IMPLANTADO (km. 5.9),1.356880733944954
205EDF0190,ENTR. BR-010/DF-345 até ENTR. DF-405,1.35
230EDF0050,ENTR. DF-130 até ENTR. DF-345,1.3333333333333333
003EDF0210,ENTR. DF-025 (EPDB) até ENTR. DF-055 (EPVB),1.3
465EDF0010,ENTR. DF-001 (EPCT) até PRESÍDIO DA PAPUDA,1.295744680851064
007EDF0012,ENTR. DF-006 (EPCA) até ENTR. DF-009 (EPPN),1.25
007EDF0030,ENTR. DF-009 (EPPN) até ENTR. DF-002 (PONTE DO BRAGHETTO),1.25
345EDF0070,ENTR. BR-010(B)/ BR-020/BR-030 até ENTR. DF-230,1.25
095EDF0030,ENTR. DF-097 (EPAC) até ENTR. DF-087 (EPVL),1.2307692307692308
095EDF0050,ENTR. DF-087 (EPVL) até ENTR. BR- 070/251/ DF-001 (EPCT),1.2307692307692308
003EDF0030,ENTR. DF-007 (EPTT)/ GRANJA DO TORTO até ENTR. DF-009 (EPPN),1.21875
003EDF0010,ENTR. BR- 010/020/030/DF-001/DF- 150 (PARQUE ROD. DER-DF) até ENTR. DF-007(EPTT) (GRANJA DO TORTO),1.2
003EDF0050,ENTR. DF-009 (EPPN) até ACESSO A ASA NORTE,1.1875
007EDF0010,ENTR. DF-003 (EPIA)/ GRANJA DO TORTO até ENTR. DF-006 (EPCA),1.1833333333333333
495EDF0010,ENTR.BR-040/BR-050 até FERROVIA CENTRO ATLÂNTICO FCA,1.1823529411764706
097EDF0010,ENTR. DF-095 (EPCL) até DF-010 (EPAA),1.1764705882352942
075EDF0050,ENTR. DF-079 (EPVP) até ENTR. BR-251/ DF-001 (EPCT),1.1666666666666667
100EDF0110,ENTR. BR-479/DF-250 até ENTR. VC-169(A),1.1666666666666667
105EDF0090,ENTR. BR-479(A)/ DF-250(B) até ENTR. VC-155,1.1666666666666667
120EDF0010,ENTR. BR-479/DF-250 até ENTR. DF-455,1.1666666666666667
310EDF0010,ENTR. BR-479/DF-250 até ENTR. VC-151,1.1666666666666667
002EDF0010,ENTR. DF-007(EPTT) PONTE DO BRAGHETTO até DER-DF) RODOVIÁRIA DE BRASÍLIA,1.1526315789473685
003EDF0090,ENTR. DF-010 (EPAA) (ACESSO AO SAIN / SMU) até ENTR. EIXO MONUMENTAL,1.1470588235294117
345EDF0030,GO/DF ENTR. DF-205 até ENTR. VC-111 ENTR. BR-,1.1375
105EDF0030,ENTR. DF-230 até ENTR. VC-143,1.1333333333333333
105EDF0050,ENTR. VC-143 até ENTR. BR-479(B)/ DF-250(A),1.1333333333333333
230EDF0070,ENTR. DF-345 até ENTR. VC-137(A),1.1333333333333333
140EDF0010,ENTR. DF-001 (EPCT) até ENTR. BR-251,1.1319148936170214
190EDF0030,ENTR. VC-321 até ENTR. DF-280(A),1.1285714285714286
130EDF0010,ENTR. DF-230 até ACESSO AO VALE DO AMANHECER,1.1166666666666667
130EDF0030,ACESSO AO VALE DO AMANHECER até ENTR. BR-479/DF-250,1.1166666666666667
130EDF0050,ENTR. BR-479/DF-250 até ENTR. DF-455,1.1166666666666667
003EDF0070,ACESSO A ASA NORTE até ENTR. DF-010 (EPAA) (ACESSO AO SAIN / SMU),1.1029411764705883
345EDF0010,ENTR. BR- 010(A) / DIVISA GO/DF até ENTR. DF-205,1.1
130EDF0250,ENTR. BR-251(B) até ENTR. DF-295/ DIVISA DF/GO,1.0875
290EDF0010,ENTR. BR-060 até ENTR. VC-381,1.0875
095EDF0010,ENTR. DF-003 (EPIA) até ENTR. DF-097 (EPAC),1.0833333333333335
075EDF0030,ACESSO AO NÚCLEO BANDEIRANTE até ENTR. DF-079 (EPVP),1.0833333333333333
085EDF0050,ENTR. DF-079 (EPVP) até FIM DO TÚNEL DE TAGUATINGA,1.0833333333333333
290EDF0130,ENTR. VC-371 até ENTR. BR-040/BR-050,1.076470588235294
135EDF0010,ENTR. BR-251 até ENTR. VC-467,1.075
005EDF0012,ENTR. DF-006 (EPCA) até ENTR. DF-442,1.0666666666666667
005EDF0014,ENTR. DF-442 até ENTR. DF-015 (EPTM),1.0666666666666667
005EDF0030,ENTR. DF-015 (EPTM) até ENTR. DF-001 (EPCT) / BARRAGEM PARANOÁ,1.0666666666666667
410EDF0050,ENTR. VC-127 até ENTR. DF-230,1.0666666666666667
065EDF0010,ENTR. DF-003 (EPIA) até ENTR. BR-251/ DF-001 (EPCT)/DF- 480,1.0562500000000001
001EDF0116,ENTR. DF-027 (EPJK) até ENTR. DF-035 (EPCV),1.0518518518518518
001EDF0130,ENTR. DF-035 (EPCV) até ENTR. DF-463,1.0518518518518518
001EDF0510,ENTR. DF-430 até ENTR. DF-415,1.05
125EDF0120,ENTR. BR-251(B) até FIM DO TRECHO PAVIMENTADO (km. 21.3),1.05
295EDF0030,ENTR. DF-125 até ENTR. BR-251,1.05
047EDF0010,AEROPORTO INTERNACIONAL DE BRASÍLIA até ENTR. DF-025 (EPDB),1.0471698113207546
440EDF0010,ENTR. BR-010/BR-020/ BR-030 até ENTR. DF-442,1.044954128440367
003EDF0150,ENTR. DF-085 (EPTG) até ENTR. DF-081 (EPIB),1.0408163265306123
003EDF0230,ENTR. DF-055 (EPVB) até ENTR. DF-065 (EPIP),1.0375
001EDF0490,ENTR. DF-435 até ENTR. DF-430,1.0333333333333334
110EDF0070,ENTR. VC-121 até ENTR. DF-230(A),1.0333333333333334
110EDF0090,DF-250(A) ENTR. DF- 230(A) até DF-250(B) ENTR. DF- 230(B),1.0333333333333334
110EDF0110,ENTR. DF-230(B) até ENTR. BR-479/DF-250,1.0333333333333334
330EDF0030,ENTR. DF-444 até ENTR. BR-479/DF-250,1.0333333333333334
250EDF0010,ENTR. BR- 479(A)/ DF-001 (EPCT)/ DF-015 (EPTM) até ENTR. DF-456,1.0333333333333334
047EDF0050,ENTR. DF-051 (EPGU)/ DF-004 (EPNA) até ENTR. DF-002 (ERS) (TREVO DE TRIAGEM SUL),1.0266666666666666
010EDF0070,ENTR. DF-003 (EPIA) até INÍCIO DE TRECHO DUPLICADO (km. 6.8),1.015625
001EDF0590,ENTR. DF-170 até ENTR. BR-010/020/ 030/DF-003/DF-150 (PARQUE RODOVIÁRIO DO DER-DF),1.0036363636363637
003EDF0250,ENTR. DF-065 (EPIP) até ENTR. BR- 040/050/251/ DF-001 (EPCT),1.0
008EDF0030,ENTR. DF-005 (EPPR) até ENTR. DF-009 (EPPN),1.0
125EDF0100,CÓRREGO LAMARÃO até ENTR. BR-251(A),1.0
