CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR,snv_rodovia,snv_jurisdicao,snv_uf,snv_sequencial
025EDF0110,ENTR. DF-001(A) (EPCT),ENTR. DF-001(B) (EPCT) /BARRAGEM DO PARANOÁ,1.9,PAV,CA,001EDF0090,-,30.071,-,DF-025,E,DF,0110
105EDF0070,ENTR. BR-479(B)/ DF-250(A),E N T R . B R - 4 7 9 ( A ) / DF-250(B),0.7,PAV,TSD,250EDF0190,479BDF0100,2.478,FZ-35,DF-105,E,DF,0070
120EDF0090,ENTR. DF-260(A),ENTR. DF-125/260(B),0.5,IMP,-,260EDF0030,-,183,-,DF-120,E,DF,0090
120EDF0150,ENTR. DF-270(A),ENTR. DF-270(B),2.0,IMP,-,270EDF0070,-,531,-,DF-120,E,DF,0150
125EDF0070,ENTR. DF-270(A),FIM DO TRECHO PAVIMENTADO (km. 10.0),1.5,PAV,-,270EDF0030,-,910,-,DF-125,E,DF,0070
125EDF0080,FIM DO TRECHO PAVIMENTADO (km. 10.0),6.1,6,IMP,-,270EDF0040,-,910,-,DF-125,E,DF,0080
170EDF0010,DIVISA GO/DF,ENTR. DF-001 (EPCT),10.5,IMP,-,-,-,647,DF-5,DF-170,E,DF,0010
190EDF0050,ENTR. DF-280(A),ENTR. DF-280(B),1.0,PAV,TSD,280EDF0012,-,10.518,DF-1,DF-190,E,DF,0050
220EDF0050,FIM DA PAVIMENTAÇÃO,ENTR. DF-001 (EPCT),5,EOP,-,-,-,-,DF-4,DF-220,E,DF,0050
230EDF0190,ENTR. DF-110(A),ENTR. DF-110(B),0.5,IMP,-,110EDF0090,-,127,-,DF-230,E,DF,0190
322EDF0070,ENTR. DF-260(A),ENTR. DF-260(B),2.0,IMP,-,260EDF0130,-,250,DF-320,DF-322,E,DF,0070
445EDF0050,ENTR. DF-430(A),ENTR. DF-430(B),0.2,PAV,-,430EDF0030,-,2.050,-,DF-445,E,DF,0050
