u,v,codigo,sentido,rodovia,situacao,pavimentada,extensao_km,tmd_der,v_limite,v_livre_tomtom,tomtom_compartilhado,faixas_estimadas,capacidade_estimada,tem_contagem,vol_7h,vc_7h,vol_18h,vc_18h,K_observado,t_livre_s
0,1,001EDF0010,crescente,DF-001,PAV,True,2.8,6587.0,60.0,56.0,True,1,1400,False,,,,,,179.99999999999997
1,0,001EDF0010,decrescente,DF-001,PAV,True,2.8,6587.0,60.0,56.0,True,1,1400,False,,,,,,179.99999999999997
1,2,001EDF0012,crescente,DF-001,PAV,True,3.3,6587.0,60.0,56.0,True,1,1400,False,,,,,,212.14285714285714
2,1,001EDF0012,decrescente,DF-001,PAV,True,3.3,6587.0,60.0,56.0,True,1,1400,False,,,,,,212.14285714285714
2,3,001EDF0020,crescente,DF-001,PAV,True,2.8,6420.0,60.0,55.0,True,1,1400,False,,,,,,183.27272727272725
3,2,001EDF0020,decrescente,DF-001,PAV,True,2.8,6420.0,60.0,55.0,True,1,1400,False,,,,,,183.27272727272725
3,4,001EDF0030,crescente,DF-001,PAV,True,3.7,7610.0,60.0,55.0,True,1,1400,False,,,,,,242.1818181818182
4,3,001EDF0030,decrescente,DF-001,PAV,True,3.7,7610.0,60.0,55.0,True,1,1400,False,,,,,,242.1818181818182
4,5,001EDF0050,crescente,DF-001,PAV,True,2.0,18134.0,60.0,55.0,True,1,1400,False,,,,,,130.9090909090909
5,4,001EDF0050,decrescente,DF-001,PAV,True,2.0,18134.0,60.0,55.0,True,1,1400,False,,,,,,130.9090909090909
5,6,001EDF0052,crescente,DF-001,PAV,True,2.4,18134.0,60.0,55.0,True,1,1400,False,,,,,,157.09090909090907
6,5,001EDF0052,decrescente,DF-001,PAV,True,2.4,18134.0,60.0,55.0,True,1,1400,False,,,,,,157.09090909090907
6,7,001EDF0070,crescente,DF-001,PAV,True,0.9,24816.0,60.0,55.0,True,1,1400,True,1178.0,0.8414285714285714,882.0,0.63,,58.909090909090914
7,6,001EDF0070,decrescente,DF-001,PAV,True,0.9,24816.0,60.0,55.0,True,1,1400,False,,,,,,58.909090909090914
7,8,001EDF0090,crescente,DF-001,PAV,True,1.9,27102.0,60.0,55.0,True,1,1400,False,,,,,,124.36363636363636
8,7,001EDF0090,decrescente,DF-001,PAV,True,1.9,27102.0,60.0,55.0,True,1,1400,True,742.0,0.53,1342.0,0.9585714285714285,,124.36363636363636
8,9,001EDF0110,crescente,DF-001,DUP,True,5.6,11582.0,60.0,55.0,True,2,3600,True,234.0,0.065,523.0,0.14527777777777778,,366.5454545454545
9,8,001EDF0110,decrescente,DF-001,DUP,True,5.6,11582.0,60.0,55.0,True,2,3600,False,,,,,,366.5454545454545
9,10,001EDF0116,crescente,DF-001,DUP,True,1.8,28673.0,60.0,71.0,True,2,3600,True,2391.5,0.6643055555555556,5500.0,1.5277777777777777,,91.26760563380282
10,9,001EDF0116,decrescente,DF-001,DUP,True,1.8,28673.0,60.0,71.0,True,2,3600,True,2885.0,0.8013888888888889,1758.0,0.48833333333333334,,91.26760563380282
10,11,001EDF0130,crescente,DF-001,DUP,True,2.4,31692.0,60.0,71.0,True,2,3600,True,1031.5,0.28652777777777777,2630.5,0.7306944444444444,,121.69014084507042
11,10,001EDF0130,decrescente,DF-001,DUP,True,2.4,31692.0,60.0,71.0,True,2,3600,True,2259.0,0.6275,1451.0,0.40305555555555556,,121.69014084507042
11,12,001EDF0150,crescente,DF-001,DUP,True,1.6,21700.0,60.0,29.0,False,2,3600,False,,,,,,198.62068965517244
12,11,001EDF0150,decrescente,DF-001,DUP,True,1.6,21700.0,60.0,29.0,False,2,3600,False,,,,,,198.62068965517244
12,13,001EDF0170,crescente,DF-001,DUP,True,3.5,16797.0,60.0,87.0,True,2,3600,False,,,,,,144.82758620689654
13,12,001EDF0170,decrescente,DF-001,DUP,True,3.5,16797.0,60.0,87.0,True,2,3600,False,,,,,,144.82758620689654
13,14,001EDF0190,crescente,DF-001,PAV,True,3.6,4781.0,60.0,87.0,True,1,1400,False,,,,,,148.9655172413793
14,13,001EDF0190,decrescente,DF-001,PAV,True,3.6,4781.0,60.0,87.0,True,1,1400,False,,,,,,148.9655172413793
15,16,001EDF0250,crescente,DF-001,DUP,True,3.8,21912.0,60.0,63.0,False,2,3600,True,1282.5,0.35625,1173.0,0.3258333333333333,,217.1428571428571
16,15,001EDF0250,decrescente,DF-001,DUP,True,3.8,21912.0,60.0,63.0,False,2,3600,True,2529.5,0.7026388888888889,2146.5,0.59625,,217.1428571428571
16,17,001EDF0270,crescente,DF-001,DUP,True,3.0,57820.0,60.0,57.0,True,2,3600,True,463.0,0.12861111111111112,1507.5,0.41875,,189.4736842105263
17,16,001EDF0270,decrescente,DF-001,DUP,True,3.0,57820.0,60.0,57.0,True,2,3600,False,,,,,,189.4736842105263
17,18,001EDF0290,crescente,DF-001,DUP,True,1.9,31360.0,60.0,57.0,True,2,3600,False,,,,,,120.0
18,17,001EDF0290,decrescente,DF-001,DUP,True,1.9,31360.0,60.0,57.0,True,2,3600,False,,,,,,120.0
18,19,001EDF0310,crescente,DF-001,DUP,True,3.4,50998.0,60.0,57.0,True,2,3600,True,1661.0,0.4613888888888889,1837.0,0.5102777777777778,,214.73684210526315
19,18,001EDF0310,decrescente,DF-001,DUP,True,3.4,50998.0,60.0,57.0,True,2,3600,True,3810.0,1.0583333333333333,3474.0,0.965,,214.73684210526315
19,20,001EDF0330,crescente,DF-001,DUP,True,2.2,91288.0,60.0,47.0,False,2,3600,True,3485.0,0.9680555555555556,3164.0,0.8788888888888889,,168.51063829787236
20,19,001EDF0330,decrescente,DF-001,DUP,True,2.2,91288.0,60.0,47.0,False,2,3600,False,,,,,,168.51063829787236
20,21,001EDF0350,crescente,DF-001,DUP,True,1.0,39620.0,60.0,68.0,False,2,3600,True,1738.0,0.48277777777777775,1795.0,0.4986111111111111,,52.94117647058823
21,20,001EDF0350,decrescente,DF-001,DUP,True,1.0,39620.0,60.0,68.0,False,2,3600,False,,,,,,52.94117647058823
22,23,001EDF0410,crescente,DF-001,DUP,True,4.5,53922.0,60.0,52.0,True,2,3600,True,4662.0,1.295,4250.0,1.1805555555555556,,311.53846153846155
23,22,001EDF0410,decrescente,DF-001,DUP,True,4.5,53922.0,60.0,52.0,True,2,3600,True,3678.0,1.0216666666666667,4177.0,1.1602777777777777,,311.53846153846155
23,24,001EDF0430,crescente,DF-001,DUP,True,4.4,21847.0,60.0,73.0,False,2,3600,False,,,,,,216.986301369863
24,23,001EDF0430,decrescente,DF-001,DUP,True,4.4,21847.0,60.0,73.0,False,2,3600,False,,,,,,216.986301369863
24,25,001EDF0450,crescente,DF-001,DUP,True,3.9,21847.0,60.0,60.0,False,2,3600,False,,,,,,234.0
25,24,001EDF0450,decrescente,DF-001,DUP,True,3.9,21847.0,60.0,60.0,False,2,3600,True,1112.5,0.3090277777777778,374.0,0.10388888888888889,,234.0
25,26,001EDF0470,crescente,DF-001,PAV,True,4.5,5231.0,60.0,63.0,True,1,1400,False,,,,,,257.1428571428571
26,25,001EDF0470,decrescente,DF-001,PAV,True,4.5,5231.0,60.0,63.0,True,1,1400,False,,,,,,257.1428571428571
26,27,001EDF0490,crescente,DF-001,PAV,True,2.2,6420.0,60.0,62.0,True,1,1400,False,,,,,,127.74193548387098
27,26,001EDF0490,decrescente,DF-001,PAV,True,2.2,6420.0,60.0,62.0,True,1,1400,False,,,,,,127.74193548387098
27,28,001EDF0510,crescente,DF-001,PAV,True,3.7,881.0,60.0,63.0,True,1,1400,False,,,,,,211.42857142857142
28,27,001EDF0510,decrescente,DF-001,PAV,True,3.7,881.0,60.0,63.0,True,1,1400,False,,,,,,211.42857142857142
28,29,001EDF0550,crescente,DF-001,PAV,True,3.0,881.0,60.0,63.0,True,1,1400,False,,,,,,171.42857142857142
29,28,001EDF0550,decrescente,DF-001,PAV,True,3.0,881.0,60.0,63.0,True,1,1400,False,,,,,,171.42857142857142
29,30,001EDF0570,crescente,DF-001,IMP,False,7.1,625.0,60.0,62.0,True,1,600,False,,,,,,412.258064516129
