codigo,snv_rodovia,situacao,extensao_km,extensao_geom_km,decisao,motivo,TRECHO-INÍCIO,TRECHO-FINAL
001EDF0010,DF-001,PAV,2.8,2.8467281653570757,manter,,ENTR. BR-010/020/ 030/DF-003/150 (PARQUE ROD. DER- DF),ENTR. DF-442
001EDF0012,DF-001,PAV,3.3,3.3885010652805767,manter,,ENTR. DF-442,ENTR. DF-008 (EPUB)
001EDF0020,DF-001,PAV,2.8,2.927701912822999,manter,,ENTR. DF-008 (EPUB),ENTR. VC-263
001EDF0030,DF-001,PAV,3.7,3.68488378132998,manter,,ENTR. VC-263,ENTR.BR-479/ DF-015/DF-250
001EDF0050,DF-001,PAV,2.0,2.055930806880491,manter,,ENTR. BR-479/ DF-015/DF-250,ENTR. DF-456
001EDF0052,DF-001,PAV,2.4,2.350782376556,manter,,ENTR. DF-456,ENTR. DF-005 (EPPR)
001EDF0070,DF-001,PAV,0.9,0.9606809406689573,manter,,ENTR. DF-005 (EPPR),ENTR. DF-025(A) /BARRAGEM DO PARANOÁ
001EDF0090,DF-001,PAV,1.9,1.9440906558278892,manter,,ENTR. DF-025(A) /BARRAGEM DO PARANOÁ,ENTR. DF-025(B) (EPDB)
001EDF0110,DF-001,DUP,5.6,5.728266924366438,manter,,ENTR. DF-025(B) (EPDB),ENTR. DF-027 (EPJK)
001EDF0116,DF-001,DUP,1.8,1.7584265871907312,manter,,ENTR. DF-027 (EPJK),ENTR. DF-035 (EPCV)
001EDF0130,DF-001,DUP,2.4,2.4245633323367,manter,,ENTR. DF-035 (EPCV),ENTR. DF-463
001EDF0150,DF-001,DUP,1.6,1.6312885487394566,manter,,ENTR. DF-463,ENTR. DF-465
001EDF0170,DF-001,DUP,3.5,3.5103670620211203,manter,,ENTR. DF-465,ENTR. DF-140
001EDF0190,DF-001,PAV,3.6,3.63607323961801,manter,,ENTR. DF-140,ENTR. BR-251(A)
001EDF0250,DF-001,DUP,3.8,3.942165748916286,manter,,ENTR. BR-040/050/ DF-003 (EPIA),E N T R . D F - 0 6 5 (EPIP)/ DF-480
001EDF0270,DF-001,DUP,3.0,3.0228435264593565,manter,,ENTR. DF-065 (EPIP)/ DF-480,ENTR. DF-475
001EDF0290,DF-001,DUP,1.9,1.6588381626391546,manter,,ENTR. DF-475,ENTR. VC-331
001EDF0310,DF-001,DUP,3.4,3.650512436304306,manter,,ENT. VC-331,ACESSO AO RECANTO DAS EMAS
001EDF0330,DF-001,DUP,2.2,2.1351157843627373,manter,,ACESSO AO RECANTO DAS EMAS,ENTR. BR-060 / ACESSO I A SAMAMBAIA
001EDF0350,DF-001,DUP,1.0,1.0996844186020713,manter,,ENTR. BR-060 / ACESSO I A SAMAMBAIA,ACESSO II A SAMAMBAIA / 3º DR
001EDF0410,DF-001,DUP,4.5,4.746929060306242,manter,,ENTR. DF-085 (EPTG)/ TAGUATINGA,ENTR. BR-070/ DF-095 (EPCL)
001EDF0430,DF-001,DUP,4.4,4.484099690435024,manter,,ENTR. BR-070/ DF-095(EPCL),ENTR. DF-097 (EPAC)
001EDF0450,DF-001,DUP,3.9,3.8616617711540093,manter,,ENTR. DF-097 (EPAC),ENTR. BR-080/251(B)
001EDF0470,DF-001,PAV,4.5,4.981737712655689,manter,,ENTR. BR-080/251(B),ENTR. DF-435
001EDF0490,DF-001,PAV,2.2,2.218698998609272,manter,,ENTR. DF-435,ENTR. DF-430
001EDF0510,DF-001,PAV,3.7,3.8859593875764284,manter,,ENTR. DF-430,ENTR. DF-415
001EDF0550,DF-001,PAV,3.0,2.8697283907059283,manter,,ENTR. DF-415,ENTR. DF-220
001EDF0570,DF-001,IMP,7.1,7.302538224211905,manter,nao pavimentado: fora da analise de trafego,ENTR. DF-220,ENTR. DF-170 ENTR. BR-010/020/
001EDF0590,DF-001,PAV,21.3,21.844886085801722,manter,,ENTR. DF-170,ENTR. BR-010/020/ 030/DF-003/DF-150 (PARQUE RODOVIÁRIO DO DER-DF)
002EDF0010,DF-002,DUP,7.2,7.216488218026538,manter,,ENTR. DF-007(EPTT) PONTE DO BRAGHETTO,DER-DF) RODOVIÁRIA DE BRASÍLIA
002EDF0030,DF-002,DUP,6.6,6.923986109118437,manter,,RODOVIÁRIA DE BRASÍLIA,ENTR. DF-047 (TREVO DE TRIAGEM SUL)
003EDF0010,DF-003,DUP,5.2,5.3517140155691445,manter,,ENTR. BR- 010/020/030/DF-001/DF- 150 (PARQUE ROD. DER-DF),ENTR. DF-007(EPTT) (GRANJA DO TORTO)
003EDF0030,DF-003,DUP,1.5,1.50294672281411,manter,,ENTR. DF-007 (EPTT)/ GRANJA DO TORTO,ENTR. DF-009 (EPPN)
003EDF0050,DF-003,DUP,1.9,1.9820689166293994,manter,,ENTR. DF-009 (EPPN),ACESSO A ASA NORTE
003EDF0070,DF-003,DUP,2.3,2.3610272222703568,manter,,ACESSO A ASA NORTE,ENTR. DF-010 (EPAA) (ACESSO AO SAIN / SMU)
003EDF0090,DF-003,DUP,2.4,2.528674515465543,manter,,ENTR. DF-010 (EPAA) (ACESSO AO SAIN / SMU),ENTR. EIXO MONUMENTAL
003EDF0110,DF-003,DUP,1.1,0.9977676547435949,manter,,ENTR. EIXO MONUMENTAL,ENTR. DF-095 (EPCL)
003EDF0130,DF-003,DUP,2.8,2.811291757509621,manter,,ENTR. DF-095 (EPCL),ENTR. DF-085 (EPTG)
003EDF0150,DF-003,DUP,2.0,2.039042015982447,manter,,ENTR. DF-085 (EPTG),ENTR. DF-081 (EPIB)
003EDF0152,DF-003,DUP,1.5,1.3977576520374828,manter,,ENTR. DF-081 (EPIB),ENTR. DF-051 (EPGU)
003EDF0170,DF-003,DUP,2.4,2.420930832888128,manter,,ENTR. DF-051 (EPGU),ENTR. DF-075 (EPNB)
003EDF0190,DF-003,DUP,1.4,1.4097051422131548,manter,,ENTR. DF-075 (EPNB),ENTR. DF-025 (EPDB)
003EDF0210,DF-003,DUP,0.4,0.8805843691481174,manter,ALERTA: geometria 2.20x a extensao declarada,ENTR. DF-025 (EPDB),ENTR. DF-055 (EPVB)
003EDF0230,DF-003,DUP,8.7,8.248135716635135,manter,,ENTR. DF-055 (EPVB),ENTR. DF-065 (EPIP)
003EDF0250,DF-003,DUP,3.3,3.3590707172151126,manter,,ENTR. DF-065 (EPIP),ENTR. BR- 040/050/251/ DF-001 (EPCT)
004EDF0010,DF-004,DUP,0.9,0.9583990701766993,manter,,ENTR. DF-002 (ERN) PONTE DO BRAGHETTO,ENTR. VIA L2
004EDF0030,DF-004,DUP,3.6,3.4738294805704406,manter,,ENTR. VIA L2,ENTR. DF-008 (EPUB)
004EDF0050,DF-004,DUP,1.9,1.9645692813464122,manter,,ENTR. DF-008 (EPUB),ACESSO À UnB
004EDF0070,DF-004,DUP,1.9,1.9287314114243341,manter,,ACESSO À UnB,ACESSO À VILA PLANALTO
004EDF0090,DF-004,DUP,1.5,1.5903134769711635,manter,,ACESSO À VILA PLANALTO,ENTR. EIXO MONUMENTAL
004EDF0110,DF-004,DUP,0.4,0.3984986599801335,manter,,ENTR. EIXO MONUMENTAL,ACESSO À PONTE JK
004EDF0130,DF-004,DUP,3.1,3.4555342566732037,manter,,ACESSO À PONTE JK,ACESSO À PONTE HONESTINO GUIMARÃES
004EDF0150,DF-004,DUP,2.8,2.9350694653366953,manter,,ACESSO À PONTE HONESTINO GUIMARÃES,ACESSO À PONTE PRESIDENTE MEDICI
004EDF0170,DF-004,DUP,3.7,3.748099460120857,manter,,ACESSO À PONTE PRESIDENTE MEDICI,ENTR. DF-047(EPAR)/ DF-051(EPGU)
005EDF0010,DF-005,DUP,0.8,0.798932492702968,manter,,ENTR. DF-009 (EPPN),ENTR. DF-006 (EPCA)
005EDF0012,DF-005,DUP,2.2,2.3608352385459863,manter,,ENTR. DF-006 (EPCA),ENTR. DF-442
005EDF0014,DF-005,DUP,7.4,7.5360040585632015,manter,,ENTR. DF-442,ENTR. DF-015 (EPTM)
005EDF0030,DF-005,PAV,7.6,7.687030350099963,manter,,ENTR. DF-015 (EPTM),ENTR. DF-001 (EPCT) / BARRAGEM PARANOÁ
006EDF0010,DF-006,DUP,2.1,2.311323392231086,manter,,ENTR. DF-007 (EPTT),ENTR. DF-005 (EPPR)
