no,lon,lat,nome,n_pontas
0,-47.8590175219999,-15.6880902255081,ENTR. BR-010/020/ 030/DF-003/150 (PARQUE ROD. DER- DF),3
1,-47.8349603539999,-15.693796059507997,ENTR. DF-442,3
2,-47.8098339629999,-15.7109436635075,ENTR. DF-008 (EPUB),2
3,-47.7900751619999,-15.727512703507,ENTR. VC-263,2
4,-47.7781039579999,-15.7583728565062,ENTR.BR-479/ DF-015/DF-250,4
5,-47.775471489999894,-15.7760428671723,ENTR. DF-456,3
6,-47.78310495899999,-15.7944701315052,ENTR. DF-005 (EPPR),3
7,-47.7861105129999,-15.8024356625049,ENTR. DF-025(A) /BARRAGEM DO PARANOÁ,2
8,-47.80032670799991,-15.8086292875047,ENTR. DF-025(B) (EPDB),3
9,-47.815062895999894,-15.8493016085036,ENTR. DF-027 (EPJK),3
10,-47.820454796999904,-15.864080962169865,ENTR. DF-035 (EPCV),3
11,-47.82195791099989,-15.8853899475026,ENTR. DF-463,3
12,-47.819552709999904,-15.899755612835534,ENTR. DF-465,3
13,-47.832581045666565,-15.928027719834732,ENTR. DF-140,3
14,-47.8578395139999,-15.9484538185008,ENTR. BR-251(A),1
15,-47.989792082,-15.9766584965001,ENTR. BR-040/050/ DF-003 (EPIA),2
16,-48.0207063509999,-15.9660987445004,E N T R . D F - 0 6 5 (EPIP)/ DF-480,4
17,-48.03826042566657,-15.945381687834233,ENTR. DF-475,3
18,-48.044458146,-15.9319368775013,ENTR. VC-331,2
19,-48.0544479519999,-15.9007025685021,ACESSO AO RECANTO DAS EMAS,2
20,-48.0603337079999,-15.8824480525026,ENTR. BR-060 / ACESSO I A SAMAMBAIA,2
21,-48.0515168429999,-15.8781281025028,ACESSO II A SAMAMBAIA / 3º DR,2
22,-48.0503347119999,-15.831850879837434,ENTR. DF-085 (EPTG)/ TAGUATINGA,3
23,-48.0534586989999,-15.7922437525052,ENTR. BR-070/ DF-095 (EPCL),3
24,-48.0475035949999,-15.753955567506301,ENTR. DF-097 (EPAC),3
25,-48.0742885729999,-15.7360108445068,ENTR. BR-080/251(B),2
26,-48.0884302979999,-15.6971364925079,ENTR. DF-435,3
27,-48.0896341929999,-15.6772554515085,ENTR. DF-430,3
28,-48.0799267619999,-15.6437268535094,ENTR. DF-415,2
29,-48.066950318,-15.62299266751,ENTR. DF-220,3
30,-48.0171379419999,-15.5822580415111,ENTR. DF-170 ENTR. BR-010/020/,2
31,-47.89402305399991,-15.731272669507,ENTR. DF-007(EPTT) PONTE DO BRAGHETTO,3
